Timestamp,Device ID,Device Type,Location,CPU %,RAM %,Temperature (°C),Signal (dBm),Uptime (s),Is Anomaly,Hour,Date,Weekday,Signal Quality,Temp Status,CPU Status
2026-05-25 09:03:03.718141,device_001,gateway,warehouse_a,30.5,57.6,51.59,-52,21600,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:03:03.718141,device_002,camera,factory_floor_2,72.6,69.1,60.3,-65,21600,False,9,2026-05-25,Monday,Good,Normal,High
2026-05-25 09:03:03.718141,device_003,sensor,warehouse_b,15.9,33.1,44.3,-67,21600,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:03:03.718141,device_004,camera,warehouse_b,67.7,68.1,59.61,-54,21600,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:03:03.718141,device_005,gateway,warehouse_a,29.2,48.1,46.26,-54,21600,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:03:03.718141,device_006,sensor,factory_floor_2,5.2,36.3,38.96,-59,21600,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:03:03.718141,device_007,sensor,warehouse_a,3.5,40.9,37.76,-68,21600,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:03:03.718141,device_008,gateway,loading_bay,26.9,49.3,52.2,-56,21600,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:03:03.718141,device_009,sensor,office_block,5.3,30.4,42.33,-68,21600,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:03:03.718141,device_010,camera,warehouse_a,66.9,68.8,59.2,-63,21600,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:03:03.718141,device_011,camera,factory_floor_1,62.0,69.9,66.56,-52,21600,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:03:03.718141,device_012,camera,server_room,59.7,65.1,63.47,-55,21600,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:03:03.718141,device_013,sensor,factory_floor_2,9.0,29.7,36.12,-59,21600,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:03:03.718141,device_014,controller,server_room,19.0,45.7,50.22,-60,21600,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:03:03.718141,device_015,sensor,loading_bay,7.4,29.1,41.1,-68,21600,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:04:03.718141,device_001,gateway,warehouse_a,24.4,59.2,50.62,-58,21540,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:04:03.718141,device_002,camera,factory_floor_2,66.7,71.3,55.71,-59,21540,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:04:03.718141,device_003,sensor,warehouse_b,6.1,37.4,39.97,-58,21540,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:04:03.718141,device_004,camera,warehouse_b,70.2,66.6,63.79,-59,21540,False,9,2026-05-25,Monday,Excellent,Normal,High
2026-05-25 09:04:03.718141,device_005,gateway,warehouse_a,26.5,58.9,52.99,-62,21540,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:04:03.718141,device_006,sensor,factory_floor_2,5.6,30.6,41.44,-69,21540,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:04:03.718141,device_007,sensor,warehouse_a,2.0,40.4,44.44,-58,21540,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:04:03.718141,device_008,gateway,loading_bay,27.6,56.4,55.01,-57,21540,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:04:03.718141,device_009,sensor,office_block,4.8,41.2,43.08,-60,21540,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:04:03.718141,device_010,camera,warehouse_a,64.8,59.5,65.69,-51,21540,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:04:03.718141,device_011,camera,factory_floor_1,69.1,68.8,61.26,-52,21540,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:04:03.718141,device_012,camera,server_room,65.5,69.1,55.04,-62,21540,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:04:03.718141,device_013,sensor,factory_floor_2,9.8,32.9,46.43,-62,21540,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:04:03.718141,device_014,controller,server_room,14.0,48.7,46.49,-55,21540,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:04:03.718141,device_015,sensor,loading_bay,9.6,37.1,40.41,-58,21540,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:05:03.718141,device_001,gateway,warehouse_a,28.5,52.2,54.91,-59,21480,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:05:03.718141,device_002,camera,factory_floor_2,63.4,64.1,59.82,-64,21480,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:05:03.718141,device_003,sensor,warehouse_b,9.5,35.0,42.78,-67,21480,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:05:03.718141,device_004,camera,warehouse_b,63.8,68.3,56.75,-61,21480,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:05:03.718141,device_005,gateway,warehouse_a,26.3,54.4,49.59,-50,21480,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:05:03.718141,device_006,sensor,factory_floor_2,10.0,35.7,47.66,-58,21480,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:05:03.718141,device_007,sensor,warehouse_a,9.3,27.3,41.78,-56,21480,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:05:03.718141,device_008,gateway,loading_bay,27.9,64.9,52.18,-63,21480,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:05:03.718141,device_009,sensor,office_block,7.0,34.9,42.9,-67,21480,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:05:03.718141,device_010,camera,warehouse_a,59.2,73.0,64.43,-58,21480,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:05:03.718141,device_011,camera,factory_floor_1,69.0,75.6,58.27,-56,21480,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:05:03.718141,device_012,camera,server_room,58.0,78.8,62.76,-53,21480,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:05:03.718141,device_013,sensor,factory_floor_2,3.0,35.4,40.3,-70,21480,False,9,2026-05-25,Monday,Good,Normal,Normal
2026-05-25 09:05:03.718141,device_014,controller,server_room,15.5,45.3,43.35,-60,21480,False,9,2026-05-25,Monday,Excellent,Normal,Normal
2026-05-25 09:05:03.718141,device_015,sensor,loading_bay,2.7,31.3,43.42,-65,21480,False,9,2026-05-25,Monday,Good,Normal,Normal
